,dateTime,level,seconds,participant_id
0,2019-11-02T00:09:30.000,wake,150,p01
1,2019-11-02T00:15:30.000,wake,150,p01
2,2019-11-02T00:20:30.000,wake,90,p01
3,2019-11-02T00:40:00.000,wake,150,p01
4,2019-11-02T00:57:30.000,wake,30,p01
5,2019-11-02T02:55:00.000,wake,30,p01
6,2019-11-02T03:26:00.000,wake,30,p01
7,2019-11-02T03:45:30.000,wake,30,p01
8,2019-11-02T04:00:30.000,wake,30,p01
9,2019-11-02T04:28:00.000,wake,150,p01
10,2019-11-02T04:46:30.000,wake,60,p01
11,2019-11-02T05:07:00.000,wake,120,p01
12,2019-11-02T05:11:30.000,wake,90,p01
13,2019-11-02T05:15:00.000,wake,60,p01
14,2019-11-02T05:17:30.000,wake,180,p01
15,2019-11-02T05:22:00.000,wake,30,p01
16,2019-11-02T05:26:30.000,wake,30,p01
17,2019-11-02T05:42:00.000,wake,30,p01
18,2019-11-02T06:14:30.000,wake,30,p01
19,2019-11-02T06:17:00.000,wake,120,p01
20,2019-11-02T06:24:00.000,wake,120,p01
21,2019-11-02T06:52:00.000,wake,120,p01
22,2019-11-02T06:56:00.000,wake,120,p01
23,2019-11-03T00:48:30.000,wake,30,p01
24,2019-11-03T01:17:30.000,wake,60,p01
25,2019-11-03T01:24:00.000,wake,30,p01
26,2019-11-03T01:59:00.000,wake,30,p01
27,2019-11-03T02:01:00.000,wake,60,p01
28,2019-11-03T02:03:30.000,wake,30,p01
29,2019-11-03T02:05:30.000,wake,30,p01
30,2019-11-03T02:15:30.000,wake,30,p01
31,2019-11-03T02:19:00.000,wake,30,p01
32,2019-11-03T02:25:30.000,wake,30,p01
33,2019-11-03T02:58:30.000,wake,30,p01
34,2019-11-03T03:20:30.000,wake,60,p01
35,2019-11-03T03:32:00.000,wake,120,p01
36,2019-11-03T03:36:00.000,wake,60,p01
37,2019-11-03T03:56:30.000,wake,30,p01
38,2019-11-03T04:23:00.000,wake,60,p01
39,2019-11-03T04:27:00.000,wake,60,p01
40,2019-11-03T04:48:00.000,wake,60,p01
41,2019-11-03T04:53:30.000,wake,60,p01
42,2019-11-03T05:38:30.000,wake,30,p01
43,2019-11-03T05:51:00.000,wake,30,p01
44,2019-11-03T05:55:00.000,wake,60,p01
45,2019-11-03T06:02:00.000,wake,30,p01
46,2019-11-03T06:35:30.000,wake,30,p01
47,2019-11-03T07:22:00.000,wake,60,p01
48,2019-11-03T07:26:30.000,wake,30,p01
49,2019-11-04T00:00:00.000,wake,60,p01
50,2019-11-04T00:38:30.000,wake,60,p01
51,2019-11-04T00:46:30.000,wake,120,p01
52,2019-11-04T00:50:00.000,wake,60,p01
53,2019-11-04T00:52:30.000,wake,60,p01
54,2019-11-04T01:12:00.000,wake,30,p01
55,2019-11-04T01:23:30.000,wake,30,p01
56,2019-11-04T02:05:00.000,wake,30,p01
57,2019-11-04T02:16:30.000,wake,30,p01
58,2019-11-04T02:30:00.000,wake,60,p01
59,2019-11-04T03:40:30.000,wake,30,p01
60,2019-11-04T04:36:30.000,wake,30,p01
61,2019-11-04T04:44:00.000,wake,180,p01
62,2019-11-04T04:48:30.000,wake,30,p01
63,2019-11-04T04:56:00.000,wake,30,p01
64,2019-11-04T04:59:00.000,wake,30,p01
65,2019-11-04T05:09:00.000,wake,60,p01
66,2019-11-04T05:15:30.000,wake,30,p01
67,2019-11-04T05:25:30.000,wake,30,p01
68,2019-11-04T05:52:00.000,wake,30,p01
69,2019-11-04T05:57:30.000,wake,60,p01
70,2019-11-04T06:00:00.000,wake,30,p01
71,2019-11-04T06:10:30.000,wake,30,p01
72,2019-11-04T06:14:00.000,wake,60,p01
73,2019-11-04T06:18:00.000,wake,60,p01
74,2019-11-05T00:22:30.000,wake,150,p01
75,2019-11-05T00:28:30.000,wake,30,p01
76,2019-11-05T01:08:30.000,wake,120,p01
77,2019-11-05T02:24:00.000,wake,30,p01
78,2019-11-05T02:29:30.000,wake,30,p01
79,2019-11-05T02:52:30.000,wake,30,p01
80,2019-11-05T03:35:00.000,wake,60,p01
81,2019-11-05T04:11:00.000,wake,30,p01
82,2019-11-05T04:14:30.000,wake,90,p01
83,2019-11-05T04:21:00.000,wake,30,p01
84,2019-11-05T04:36:00.000,wake,60,p01
85,2019-11-05T04:52:30.000,wake,90,p01
86,2019-11-05T04:56:30.000,wake,30,p01
87,2019-11-05T05:01:00.000,wake,30,p01
88,2019-11-05T05:11:30.000,wake,30,p01
89,2019-11-05T05:42:30.000,wake,30,p01
90,2019-11-05T05:56:30.000,wake,30,p01
91,2019-11-05T05:59:30.000,wake,30,p01
92,2019-11-05T06:11:00.000,wake,60,p01
93,2019-11-05T06:14:30.000,wake,90,p01
94,2019-11-05T06:22:00.000,wake,180,p01
95,2019-11-06T00:25:30.000,wake,150,p01
96,2019-11-06T01:20:00.000,wake,60,p01
97,2019-11-06T02:19:00.000,wake,180,p01
98,2019-11-06T02:30:00.000,wake,60,p01
99,2019-11-06T02:44:00.000,wake,30,p01
100,2019-11-06T02:54:30.000,wake,30,p01
101,2019-11-06T03:32:00.000,wake,30,p01
102,2019-11-06T03:45:00.000,wake,30,p01
103,2019-11-06T03:58:30.000,wake,60,p01
104,2019-11-06T04:36:00.000,wake,30,p01
105,2019-11-06T04:54:00.000,wake,60,p01
106,2019-11-06T05:15:00.000,wake,60,p01
107,2019-11-06T05:34:00.000,wake,30,p01
108,2019-11-06T05:41:30.000,wake,30,p01
109,2019-11-06T05:51:30.000,wake,90,p01
110,2019-11-06T05:59:30.000,wake,60,p01
111,2019-11-06T06:03:30.000,wake,30,p01
112,2019-11-06T06:15:00.000,wake,30,p01
113,2019-11-06T06:18:30.000,wake,120,p01
114,2019-11-06T06:23:00.000,wake,60,p01
115,2019-11-06T06:27:00.000,wake,150,p01
116,2019-11-06T23:49:00.000,wake,150,p01
117,2019-11-07T00:31:30.000,wake,30,p01
118,2019-11-07T00:42:00.000,wake,90,p01
119,2019-11-07T00:50:30.000,wake,30,p01
120,2019-11-07T02:34:00.000,wake,60,p01
121,2019-11-07T02:36:30.000,wake,120,p01
122,2019-11-07T02:56:30.000,wake,30,p01
123,2019-11-07T02:59:30.000,wake,30,p01
124,2019-11-07T03:06:30.000,wake,120,p01
125,2019-11-07T03:12:30.000,wake,30,p01
126,2019-11-07T04:07:00.000,wake,120,p01
127,2019-11-07T04:21:30.000,wake,30,p01
128,2019-11-07T04:25:00.000,wake,60,p01
129,2019-11-07T04:28:00.000,wake,30,p01
130,2019-11-07T04:59:30.000,wake,60,p01
131,2019-11-07T05:09:00.000,wake,30,p01
132,2019-11-07T05:29:30.000,wake,30,p01
133,2019-11-06T23:49:00.000,wake,150,p01
134,2019-11-07T00:31:30.000,wake,30,p01
135,2019-11-07T00:42:00.000,wake,90,p01
136,2019-11-07T00:50:30.000,wake,30,p01
137,2019-11-07T02:34:00.000,wake,60,p01
138,2019-11-07T02:36:30.000,wake,120,p01
139,2019-11-07T02:56:30.000,wake,30,p01
140,2019-11-07T02:59:30.000,wake,30,p01
141,2019-11-07T03:06:30.000,wake,120,p01
142,2019-11-07T03:12:30.000,wake,30,p01
143,2019-11-07T04:07:00.000,wake,120,p01
144,2019-11-07T04:21:30.000,wake,30,p01
145,2019-11-07T04:25:00.000,wake,60,p01
146,2019-11-07T04:28:00.000,wake,30,p01
147,2019-11-07T04:59:30.000,wake,60,p01
148,2019-11-07T05:09:00.000,wake,30,p01
149,2019-11-07T05:29:30.000,wake,30,p01
150,2019-11-07T23:49:30.000,wake,90,p01
151,2019-11-07T23:58:00.000,wake,30,p01
152,2019-11-08T00:03:00.000,wake,30,p01
153,2019-11-08T00:25:00.000,wake,30,p01
154,2019-11-08T00:27:00.000,wake,120,p01
155,2019-11-08T00:38:30.000,wake,30,p01
156,2019-11-08T00:53:30.000,wake,30,p01
157,2019-11-08T01:38:00.000,wake,30,p01
158,2019-11-08T03:04:30.000,wake,60,p01
159,2019-11-08T03:15:30.000,wake,30,p01
160,2019-11-08T03:26:00.000,wake,120,p01
161,2019-11-08T03:31:30.000,wake,30,p01
162,2019-11-08T04:08:00.000,wake,30,p01
163,2019-11-08T04:17:30.000,wake,30,p01
164,2019-11-08T04:22:30.000,wake,90,p01
165,2019-11-08T04:28:00.000,wake,30,p01
166,2019-11-08T05:19:30.000,wake,30,p01
167,2019-11-08T05:23:00.000,wake,60,p01
168,2019-11-08T05:36:00.000,wake,90,p01
169,2019-11-08T05:59:30.000,wake,30,p01
170,2019-11-08T06:14:30.000,wake,90,p01
171,2019-11-08T06:18:00.000,wake,180,p01
172,2019-11-09T00:44:00.000,wake,30,p01
173,2019-11-09T00:47:30.000,wake,30,p01
